instagram;iNaturalist;entrada;primeiro_post;ultimo_post;registros;especies;curso;inatividade;efetividade_pos
"_beabio
";beabio_;01/04/2021;31/03/2021;09/03/2023;24;12;;708;
;jeffersonleandro;02/11/2019;02/11/2019;02/11/2019;1;1;;0;
;carlosvidigal;20/08/2019;13/11/2019;02/12/2023;1;1;;1480;
;gdelhaye;22/07/2019;22/07/2019;02/12/2023;1;0;;1594;
;alineporto;06/07/2019;06/07/2019;06/07/2019;1;0;;0;
;fazmatadoscocais;11/06/2019;07/07/2019;07/07/2019;1;0;;0;
;leonardopires;13/12/2018;13/12/2018;13/12/2018;1;0;;0;
;gabriel236;11/11/2018;11/11/2018;11/11/2018;1;1;;0;
;anniecruz;16/10/2018;16/10/2018;16/10/2018;1;1;;0;
;adalbertoserafimquintal;28/04/2019;08/03/2020;08/03/2020;1;0;;0;
;flaviocbatista;29/07/2018;29/07/2018;29/07/2018;1;0;;0;
;marcelobrotto;09/06/2018;18/06/2018;03/11/2023;1;1;;1964;
;jubia;27/01/2017;27/01/2017;27/01/2017;1;1;;0;
;dimgripp;22/06/2014;29/07/2020;11/01/2021;1;1;;166;
david.pdutra;david_paulo;11/12/2022;04/09/2023;04/04/2023;;;02/12/2023;-153;89
eloahsaintclair;eloahsaintclair;12/08/2022;13/05/2023;13/04/2023;;;;-30;
jocianefrans;jociane_franca_da_silva;22/05/2021;22/05/2021;22/04/2021;;;02/12/2023;-30;924
jvrfraga;;30/01/2022;01/01/2022;01/04/2022;1;0;;90;
"marianna__cs
";marianna_c_santos;13/05/2023;13/05/2023;14/04/2023;23;14;13/05/2023;-29;0
amobichofeio;thallithestickbug;23/10/2019;23/12/2019;04/04/2023;258;86;;1198;
val.diphylleiagrayi;diphylleiagrayi;12/04/2022;12/04/2022;10/04/2023;115;50;;363;
genasciment_;genasciment_;13/05/2023;13/04/2023;13/04/2023;;;13/05/2023;0;30
yaixx_ff;yaixx;13/05/2023;13/04/2023;14/04/2023;;;13/05/2023;1;30
Inara Campista de Andrade;inara10;13/05/2023;13/04/2023;13/04/2023;;;13/05/2023;0;30
;kalki_pinheiro;14/05/2021;14/04/2021;06/04/2022;79;58;;357;
