verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey
Brachygastra lecheguana,"Brachygastra lecheguana (Latreille, 1824)",1310057,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Brachygastra,Brachygastra lecheguana,Brachygastra lecheguana,"(Latreille, 1824)",1310057
Bradybaena similaris,"Bradybaena similaris (A.Férussac, 1822)",2297154,EXACT,99,ACCEPTED,SPECIES,Animalia,Mollusca,Gastropoda,Stylommatophora,Camaenidae,Bradybaena,Bradybaena similaris,Bradybaena similaris,"(A.Férussac, 1822)",2297154
Bryophyta,Bryophyta,35,EXACT,94,ACCEPTED,PHYLUM,Plantae,Bryophyta,,,,,,Bryophyta,,35
Bubulcus ibis,"Bubulcus ibis (Linnaeus, 1758)",2480830,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Bubulcus,Bubulcus ibis,Bubulcus ibis,"(Linnaeus, 1758)",2480830
Bulimulus,"Bulimulus Leach, 1814",5429435,HIGHERRANK,94,ACCEPTED,GENUS,Animalia,Mollusca,Gastropoda,Stylommatophora,Bulimulidae,Bulimulus,,Bulimulus,"Leach, 1814",5429435
Bulimulus tenuissimus,"Bulimulus tenuissimus (A.Férussac, 1832)",7737532,EXACT,98,ACCEPTED,SPECIES,Animalia,Mollusca,Gastropoda,Stylommatophora,Bulimulidae,Bulimulus,Bulimulus tenuissimus,Bulimulus tenuissimus,"(A.Férussac, 1832)",7737532
Burnsius orcus,"Burnsius orcus (Stoll, 1780)",12012526,EXACT,98,SYNONYM,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Pyrgus,Pyrgus oileus,Burnsius orcus,"(Stoll, 1780)",12012526
Burnsius orcynoides,Burnsius orcynoides,11729494,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Burnsius,Burnsius orcynoides,Burnsius orcynoides,,11729494
Bystropogon maderensis,Bystropogon maderensis Webb & Berthel.,3904015,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Bystropogon,Bystropogon maderensis,Bystropogon maderensis,Webb & Berthel.,3904015
Camponotus,"Camponotus Mayr, 1861",1312361,HIGHERRANK,92,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,,Camponotus,"Mayr, 1861",1312361
Camponotus cruentatus,"Camponotus cruentatus (Latreille, 1802)",1312486,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus cruentatus,Camponotus cruentatus,"(Latreille, 1802)",1312486
