instagram;iNaturalist;entrada;primeiro_post;ultimo_post;registros;especies;curso;reg_antes_apos_curso;registros_pre_curso;registros_pos_curso;registrou;tempo_no_IN;tempo_primeiro_post;tempo_ativo
;guiiscoo;14/11/2020;12/12/2020;29/06/2023;52;22;;;;;Sim;1119;28;929
;guilherme_lc;27/12/2022;29/12/2022;10/09/2023;1;1;;;;;Sim;346;2;255
;gustavo547;04/01/2022;04/01/2022;04/01/2022;1;1;;;;;Sim;703;0;0
;gustavohenrique1;14/05/2019;09/11/2020;28/11/2023;2;2;;;;;Sim;1669;545;1114
;gustavooow26;13/05/2023;13/05/2023;01/08/2023;2;1;;;;;Sim;209;0;80
;gyovana;29/06/2022;14/11/2022;25/07/2023;22;7;;;;;Sim;527;138;253
;hebert_gabriel;21/09/2021;21/09/2021;21/09/2021;1;0;;;;;Sim;808;0;0
;heitorpsc;21/08/2020;21/08/2020;16/01/2022;29;13;;;;;Sim;1204;0;513
;heniosup;07/06/2022;23/09/2023;23/11/2023;4;4;;;;;Sim;549;473;61
;henrique48;12/05/2020;12/05/2020;12/05/2020;1;0;;;;;Sim;1305;0;0
;henriquemoutinho;26/03/2019;26/03/2019;18/11/2023;48;43;;;;;Sim;1718;0;1698
herpetonogueira;herpetonogueira;23/06/2011;24/06/2011;18/11/2023;165;87;;;;;Sim;4551;1;4530
;hiego;23/02/2019;23/02/2019;28/02/2019;2;2;;;;;Sim;1749;0;5
;hugo_aguiar;14/12/2021;14/12/2021;14/12/2021;1;1;;;;;Sim;724;0;0
;iasmin4;28/08/2021;28/08/2021;09/09/2021;1;0;;;;;Sim;832;0;12
;im.eduardq;;;;;;12/02/2023;;;;;;;
Inara Campista de Andrade;inara10;13/05/2023;13/05/2023;13/05/2023;1;;;Depos do curso;0;1;Sim;209;0;0
;ines_santos;03/11/2020;03/11/2020;24/09/2023;14;7;;;;;Sim;1130;0;1055
ingridmonzato;ingrid536;13/05/2023;13/05/2023;08/06/2023;4;1;13/05/2023;Depos do curso;0;5;Sim;209;0;26
;insect_ed;10/04/2022;10/04/2022;24/04/2023;1;1;;;;;Sim;607;0;379
;isabel_lima1;14/01/2022;14/01/2022;20/09/2022;1;0;;;;;Sim;693;0;249
;isabel81463;29/06/2023;11/09/2023;17/10/2023;2;0;;;;;Sim;162;74;36
;isabelportugal;12/05/2022;12/05/2022;09/07/2022;1;1;;;;;Sim;575;0;58
;itwk;26/09/2022;26/09/2022;05/12/2023;1;0;;;;;Sim;438;0;435
;ivanpessanha;12/05/2020;05/11/2020;07/11/2023;195;81;;;;;Sim;1305;177;1097
;izabellafertunes;21/10/2021;21/10/2021;25/10/2021;3;2;;;;;Sim;778;0;4
;jacanteros;31/01/2016;31/01/2016;17/11/2023;2;1;;;;;Sim;2868;0;2847
;jacobira;11/05/2022;16/05/2022;18/08/2023;22;21;;;;;Sim;576;5;459
;jane455;19/07/2020;19/07/2020;19/07/2020;1;0;;;;;Sim;1237;0;0
janne_lis;janne_;15/08/2022;30/09/2022;13/05/2023;1;6;;;;;Sim;;46;225
jaque_wagen;jaqueline16163;25/09/2023;;;;;;;;;;74;;
;jeancomjota;16/11/2020;08/12/2021;14/11/2023;8;5;;;;;Sim;1117;387;706
;jeffersonleandro;02/11/2019;02/11/2019;02/11/2019;1;1;;;;;Sim;1497;0;0
;joao_bezerra;04/01/2022;04/01/2022;28/10/2023;3;2;;;;;Sim;703;0;662
;joao431;21/10/2022;21/12/2022;08/06/2023;8;1;;;;;Sim;413;61;169
;joaokkjk;04/07/2022;04/07/2022;04/07/2022;1;1;;;;;Sim;522;0;0
jocianefrans;jociane_franca_da_silva;22/05/2021;22/05/2021;22/05/2021;1;1;02/12/2023;Antes do curso;1;0;Sim;930;0;0
joicechagas;joice10;30/07/2020;30/07/2020;30/07/2020;1;0;;;;;Sim;;0;0
;joice10;30/07/2020;30/07/2020;30/07/2020;1;0;;;;;Sim;1226;0;0
;joo126;11/05/2020;11/05/2020;11/05/2020;1;0;;;;;Sim;1306;0;0
;joopedrosalgado;29/09/2019;25/12/2019;27/07/2020;2;2;;;;;Sim;1531;87;215
;jorgeleite;16/01/2023;16/01/2023;01/12/2023;5;4;;;;;Sim;326;0;319
;jose_ricardo1;22/07/2021;22/07/2021;22/07/2021;1;0;;;;;Sim;869;0;0
;jssica9;05/09/2018;03/02/2021;06/07/2022;1;0;;;;;Sim;1920;882;518
juand1211;juan218;08/01/2018;08/01/2018;19/01/2019;35;2;;;;;Sim;2160;0;376
;jubertdownzon;04/06/2023;05/06/2023;13/11/2023;21;6;;;;;Sim;187;1;161
;jubia;27/01/2017;27/01/2017;27/01/2017;1;1;;;;;Sim;2506;0;0
julia.calanca;juliacalanca;25/10/2023;;;;;;;;;;44;;
;juliagms21;02/06/2022;02/06/2022;20/06/2023;29;13;;;;;Sim;554;0;383
;juliaju;04/11/2019;09/11/2019;02/02/2021;8;6;;;;;Sim;1495;5;451
;juliana_mafort;30/01/2022;30/01/2022;30/01/2022;1;0;;;;;Sim;677;0;0
;juliana2507;20/05/2022;20/05/2022;25/05/2022;3;1;;;;;Sim;567;0;5
;julianathomazini;13/10/2019;13/10/2019;20/06/2023;4;2;;;;;Sim;1517;0;1346
;juliathedim;02/11/2021;24/04/2022;01/09/2023;2;1;;;;;Sim;766;173;495
;julio_couto;06/04/2023;04/07/2023;13/05/2023;7;4;;;;;Sim;246;89;36
;julioalmeida;04/05/2020;04/05/2020;30/11/2023;129;45;;;;;Sim;1313;0;1305
;juliomagalhes;11/09/2020;11/09/2020;14/10/2023;10;5;;;;;Sim;1183;0;1128
jvrfraga;jvrfraga;30/01/2022;30/10/2022;30/01/2022;1;0;;;;;Sim;677;0;0
;kahptain;30/08/2023;30/08/2023;21/11/2023;1;1;;;;;Sim;100;0;83
;kaiomacedo;31/01/2020;31/01/2020;11/02/2021;6;3;;;;;Sim;1407;0;377
;kalki_pinheiro;14/05/2021;14/05/2021;12/06/2022;79;58;;;;;Sim;938;0;571
;karinacarvalho;13/05/2023;13/05/2023;25/07/2023;4;3;;;;;Sim;209;0;73
;karine80;10/01/2020;14/01/2020;10/01/2021;3;0;;;;;Sim;1428;4;362
;karolinegabriele;10/09/2018;15/09/2018;17/09/2018;1;0;;;;;Sim;1915;5;2
;kaua_batista;13/12/2021;13/12/2021;03/12/2023;14;10;;;;;Sim;725;0;720
;kayky1;13/05/2023;13/05/2023;25/09/2023;3;2;;;;;Sim;209;0;135
kaylane.almeida;kaylanealmeida;12/04/2023;02/06/2023;30/06/2023;13;4;;;;;Sim;240;51;28
kerensoares_;keren_soares2003;21/05/2023;07/06/2023;30/07/2023;12;5;;;;;Sim;201;17;53
;krenakpx;04/07/2021;04/07/2021;20/10/2023;4;1;;;;;Sim;887;0;838
;Laiz Brilhante;;;;;;12/02/2023;;;;;;;
;larokin;19/11/2019;19/11/2019;22/03/2023;20;14;;;;;Sim;1480;0;1219
;leandroschuvartz;30/12/2019;02/01/2020;09/08/2021;10;7;;;;;Sim;1439;3;585
;leinadesil;06/10/2020;06/10/2020;06/10/2020;1;0;;;;;Sim;1158;0;0
